ID_chicks;Day;Name;Tarso;Ala;Peso
T1_GVC08;2;Nada;7;6;3,50
T1_GVC08;3;Nada;8;7,2;4,85
T1_GVC08;4;Nada;9,7;7,5;4,50
T1_GVC08;5;Nada;10,5;10,4;6,30
T1_GVC08;7;Nada;13,9;14,8;8,35
T1_GVC08;8;Nada;14,7;18,5;11,10
T24_MAL09;1;Nada;7;7;2,85
T24_MAL09;2;Nada;8;7;4,00
T24_MAL09;3;Nada;10;9;5,20
T24_MAL09;4;Nada;11;10;7,05
T24_MAL09;5;Nada;12;14;8,50
T24_MAL09;6;Nada;15;19;10,30
T24_MAL09;7;Nada;16;22;11,60
T24_MAL09;8;Nada;18;26;13,80
T24_MAL09;9;Nada;19;32;14,40
T24_MAL09;10;Nada;20;35;14,40
T24_MAL09;11;Nada;20;40;14,35
T24_MAL09;12;Nada;20;41;15,00
T24_MAL09;13;Nada;20;43;13,45
T24_MAL09;14;Nada;20;47;14,50
T30_MAL09;1;Nada;7;6;3,00
T30_MAL09;2;Nada;9;8;5,10
T30_MAL09;3;Nada;9;8;4,65
T30_MAL09;4;Nada;11;11;7,05
T30_MAL09;5;Nada;12;15;9,55
T30_MAL09;6;Nada;16;18;9,50
T30_MAL09;7;Nada;16;23;11,95
T30_MAL09;8;Nada;18;25;12,80
T30_MAL09;9;Nada;18;29;13,65
T30_MAL09;10;Nada;19;30;13,45
T30_MAL09;11;Nada;19;33;13,80
T30_MAL09;12;Nada;19;37;13,45
T30_MAL09;13;Nada;20;39;13,70
T30_MAL09;14;Nada;20;44;14,10
P43_JAG10;2;M;7;6,5;3,79
P43_JAG10;3;U;7,5;6,5;3,39
P43_JAG10;4;M;11;12;7,20
P43_JAG10;4;U;11;10;6,95
P43_JAG10;6;M;15,3;18;9,90
P43_JAG10;6;U;16,4;16,7;10,15
P43_JAG10;7;M;17,4;21,6;11,20
P43_JAG10;7;U;17,7;22,9;11,20
P43_JAG10;8;M;18,8;28,1;12,20
P43_JAG10;8;U;18,3;27;12,00
P43_JAG10;9;M;18,3;31,4;12,70
P43_JAG10;9;U;19,6;32;13,45
P43_JAG10;11;M;19,2;37,5;13,30
P43_JAG10;11;U;20,7;39,5;13,90
P43_JAG10;12;M;21,3;42,5;13,65
P43_JAG10;12;U;19,5;41,2;12,70
P9_GVC10;1;VERDE;6,3;4,5;2,05
P9_GVC10;1;ROJO;6,8;3,9;1,95
P9_GVC10;2;VERDE;8,5;4,8;3,95
P9_GVC10;2;ROJO;8,1;5,5;4,20
P9_GVC10;3;VERDE;9,3;7,3;5,05
