Specie;Minutos;Event;Day;Status
Tangara schrankii T18_MAL09;50;Off;1;Early
Tangara schrankii T18_MAL09;44;On;1;Early
Tangara schrankii T18_MAL09;45;Off;1;Early
Tangara schranki T1_GVC08;16;Off;2;Early
Tangara schranki T1_GVC08;57;On;2;Early
Tangara schranki T1_GVC08;16;Off;2;Early
Tangara schranki T1_GVC08;28;On;2;Early
Tangara schranki T1_GVC08;32;Off;2;Early
Tangara schranki T1_GVC08;5;On;2;Early
Tangara schranki T1_GVC08;6;Off;2;Early
Tangara schranki T1_GVC08;33;On;2;Early
Tangara schranki T1_GVC08;14;Off;2;Early
Tangara schranki T1_GVC08;6;On;2;Early
Tangara schranki T1_GVC08;42;Off;2;Early
Tangara schranki T1_GVC08;88;On;2;Early
Tangara schranki T1_GVC08;33;Off;2;Early
Tangara schranki T1_GVC08;19;On;2;Early
Tangara schranki T1_GVC08;33;Off;2;Early
Tangara schranki T1_GVC08;104;On;2;Early
Tangara schranki T1_GVC08;42;Off;2;Early
Tangara schranki T1_GVC08;30;On;2;Early
Tangara schranki T1_GVC08;10;Off;2;Early
Tangara schranki T1_GVC08;70;On;2;Early
Tangara schranki T1_GVC08;2;Off;2;Early
Tangara schrankii P13_RVA11;19;Off;2;Early
Tangara schrankii P13_RVA11;98;On;2;Early
Tangara schrankii P13_RVA11;101;Off;2;Early
Tangara schrankii P13_RVA11;264;On;2;Early
Tangara schrankii P13_RVA11;70;Off;2;Early
Tangara schrankii P13_RVA11;80;On;2;Early
Tangara schrankii P13_RVA11;38;Off;2;Early
Tangara schrankii P14_JAG10;55;Off;2;Early
Tangara schrankii P14_JAG10;108;On;2;Early
Tangara schrankii P14_JAG10;38;Off;2;Early
Tangara schrankii P14_JAG10;79;On;2;Early
Tangara schrankii P14_JAG10;52;Off;2;Early
Tangara schrankii P14_JAG10;85;On;2;Early
Tangara schrankii P14_JAG10;70;Off;2;Early
Tangara schrankii P14_JAG10;200;On;2;Early
Tangara schrankii P14_JAG10;7;Off;2;Early
Tangara schrankii P17_MAL10;32;Off;2;Early
Tangara schrankii P17_MAL10;64;On;2;Early
Tangara schrankii P17_MAL10;22;Off;2;Early
Tangara schrankii P17_MAL10;61;On;2;Early
Tangara schrankii P17_MAL10;26;Off;2;Early
Tangara schrankii P17_MAL10;59;On;2;Early
Tangara schrankii P17_MAL10;42;Off;2;Early
Tangara schrankii P17_MAL10;108;On;2;Early
Tangara schrankii P17_MAL10;45;Off;2;Early
Tangara schrankii P17_MAL10;96;On;2;Early
Tangara schrankii P17_MAL10;66;Off;2;Early
Tangara schrankii P17_MAL10;75;On;2;Early
Tangara schrankii P17_MAL10;6;Off;2;Early
Tangara schrankii P24_CAB10;21;Off;2;Early
Tangara schrankii P24_CAB10;60;On;2;Early
Tangara schrankii P24_CAB10;22;Off;2;Early
Tangara schrankii P24_CAB10;53;On;2;Early
Tangara schrankii P24_CAB10;20;Off;2;Early
Tangara schrankii P24_CAB10;64;On;2;Early
Tangara schrankii P24_CAB10;16;Off;2;Early
Tangara schrankii P24_CAB10;96;On;2;Early
Tangara schrankii P24_CAB10;93;Off;2;Early
Tangara schrankii P24_CAB10;119;On;2;Early
Tangara schrankii P24_CAB10;68;Off;2;Early
Tangara schrankii P24_CAB10;90;On;2;Early
Tangara schrankii P24_CAB10;3;Off;2;Early
Tangara schrankii P29_RVA11;25;Off;2;Early
Tangara schrankii P29_RVA11;50;On;2;Early
Tangara schrankii P29_RVA11;18;Off;2;Early
Tangara schrankii P29_RVA11;71;On;2;Early
Tangara schrankii P29_RVA11;27;Off;2;Early
Tangara schrankii P29_RVA11;65;On;2;Early
Tangara schrankii P29_RVA11;53;Off;2;Early
Tangara schrankii P29_RVA11;107;On;2;Early
Tangara schrankii P29_RVA11;72;Off;2;Early
Tangara schrankii P29_RVA11;131;On;2;Early
Tangara schrankii P29_RVA11;68;Off;2;Early
Tangara schrankii P3_CAB10;16;Off;2;Early
