dia;parte;med
2;tarso;7
3;tarso;8
4;tarso;9,7
5;tarso;10,5
7;tarso;13,9
8;tarso;14,7
1;tarso;7
2;tarso;8
3;tarso;10
4;tarso;11
5;tarso;12
6;tarso;15
7;tarso;16
8;tarso;18
9;tarso;19
10;tarso;20
11;tarso;20
12;tarso;20
13;tarso;20
14;tarso;20
1;tarso;7
2;tarso;9
3;tarso;9
4;tarso;11
5;tarso;12
6;tarso;16
7;tarso;16
8;tarso;18
9;tarso;18
10;tarso;19
11;tarso;19
12;tarso;19
13;tarso;20
14;tarso;20
2;tarso;7
3;tarso;7,5
4;tarso;11
4;tarso;11
6;tarso;15,3
6;tarso;16,4
7;tarso;17,4
7;tarso;17,7
8;tarso;18,8
8;tarso;18,3
9;tarso;18,3
9;tarso;19,6
11;tarso;19,2
11;tarso;20,7
12;tarso;21,3
12;tarso;19,5
1;tarso;6,3
1;tarso;6,8
2;tarso;8,5
2;tarso;8,1
3;tarso;9,3
3;tarso;9,5
4;tarso;10,4
4;tarso;11,5
5;tarso;12,2
5;tarso;12,8
6;tarso;14,4
6;tarso;14,1
7;tarso;15,2
7;tarso;15,1
8;tarso;17,8
8;tarso;17,8
9;tarso;18,3
9;tarso;18,5
10;tarso;18,3
10;tarso;19,7
11;tarso;20,4
11;tarso;20,6
12;tarso;20,5
12;tarso;20,4
13;tarso;20,5
13;tarso;21
1;tarso;6,9
2;tarso;8,1
1;tarso;6,9
3;tarso;9,1
2;tarso;7,9
5;tarso;12,3
4;tarso;10,6
6;tarso;14,1
5;tarso;12,1
7;tarso;16,1
6;tarso;14,6
8;tarso;17,6
7;tarso;15,6
9;tarso;18,5
8;tarso;17,8
10;tarso;19,7
9;tarso;18
11;tarso;20,4
10;tarso;18,7
12;tarso;20,2
11;tarso;19
12;tarso;19,2
14;tarso;19,4
15;tarso;19,8
8;tarso;13
7;tarso;11,4
9;tarso;17,9
14;tarso;18,2
15;tarso;19,8
16;tarso;20,5
3;tarso;7,8
3;tarso;8,8
4;tarso;8,65
4;tarso;9,4
5;tarso;10
5;tarso;13,5
6;tarso;14
6;tarso;16
8;tarso;17,3
8;tarso;18,5
9;tarso;18,1
9;tarso;19,4
10;tarso;19,5
10;tarso;19,8
1;tarso;8
1;tarso;8
1;tarso;7,2
2;tarso;8,7
2;tarso;7,8
3;tarso;9,9
3;tarso;10,1
4;tarso;10,2
4;tarso;12,1
5;tarso;12,3
5;tarso;12,9
6;tarso;13,2
6;tarso;14,3
7;tarso;15,3
7;tarso;16,5
8;tarso;15,3
8;tarso;17,2
9;tarso;18
9;tarso;17
10;tarso;19
10;tarso;19,4
11;tarso;19,8
11;tarso;19,2
12;tarso;18,9
12;tarso;17,5
13;tarso;19,8
14;tarso;19,9
2;tarso;7,1
2;tarso;7,8
3;tarso;8,9
3;tarso;9,6
4;tarso;8,9
4;tarso;9,2
6;tarso;13
6;tarso;16
7;tarso;17,5
14;tarso;18,2
14;tarso;20,2
16;tarso;19,5
16;tarso;22,1
5;tarso;7,9
5;tarso;9,6
6;tarso;10,04
6;tarso;12,3
7;tarso;11,5
7;tarso;12,8
8;tarso;12,6
8;tarso;14,12
5;tarso;8,2
5;tarso;7,8
6;tarso;9
6;tarso;10,6
7;tarso;11,3
7;tarso;12,2
8;tarso;12,9
8;tarso;14,3
9;tarso;15,3
9;tarso;15,7
10;tarso;17,3
10;tarso;17,6
11;tarso;16,9
11;tarso;17,3
12;tarso;17,6
12;tarso;17,3
4;tarso;7,3
4;tarso;7,8
6;tarso;9,8
6;tarso;10
1;tarso;6,6
1;tarso;6,8
2;tarso;7,4
2;tarso;7,2
4;tarso;9,6
4;tarso;9,4
6;tarso;11,6
6;tarso;11,7
7;tarso;12,9
7;tarso;13,4
4;tarso;9,35
7;tarso;14
8;tarso;14,8
9;tarso;15,8
1;tarso;6,4
1;tarso;6,4
2;tarso;7,8
2;tarso;7,2
3;tarso;9,6
3;tarso;8,7
