Nest_ID;Year;Total_Days;Nest_Fate;Lay_Days;Incubation_Days;Nestling_Days;Lay_Fate;Incubation_Fate;Nestling_Fate;Stage;Estacion;Altura
P10JMGP12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;0,5
P10NSTC13;2013;17;2,3;NA;16;1;2,3;2,3;2,3;NSTL;Pantiacolla;1,2
P10RVA11;2011;3;2,2;NA;3;NA;1;2,2;2,2;INC;Pantiacolla;1,4
P10SWF11;2011;18;2,3;NA;18;NA;2,3;2,3;2,3;INC;Pantiacolla;0,5
P11JAB11;2011;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1
P11MGD14;2014;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P12PCGJ12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,1
P13CAD14;2014;9;2,3;NA;9;NA;2,3;2,3;2,3;INC;Pantiacolla;NA
P13DAGR12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P13JAB11;2011;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P13PCGJ12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,6
P13RVA11;2011;7;2,3;NA;NA;7;2,3;2,3;2,3;NSTL;Pantiacolla;1,4
P13SWF11;2011;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;0,3
P14JAG10;2010;9;2,2;NA;9;NA;1;2,2;2,2;INC;Pantiacolla;0,5
P14SWF11;2011;6;2,3;NA;6;NA;2,3;2,3;2,3;INC;Pantiacolla;0,3
P15MASM12;2012;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,4
P15MGD14;2014;16;1;NA;NA;16;1;1;1;NSTL;Pantiacolla;1,5
P15PEP13;2013;16;2,3;NA;13;3;2,3;2,3;2,3;INC;Pantiacolla;0,3
P16JMM11;2011;9;1;NA;NA;9;1;1;1;NSTL;Pantiacolla;2
P16NSTC13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,65
P17IGZ14;2014;25;2,3;NA;14;3;2,3;2,3;2,3;NSTL;Pantiacolla;1,7
P17MAL10;2010;5;2,3;NA;5;NA;2,3;2,3;2,3;INC;Pantiacolla;0,4
P17SCP10;2010;2;2,3;NA;2;NA;2,3;2,3;2,3;INC;Pantiacolla;2
P18JPV11;2011;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;2,1
P18RVA11;2011;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Pantiacolla;1
P18SWF11;2011;8;2,3;NA;NA;8;2,3;2,3;2,3;NSTL;Pantiacolla;0,5
P19DAGR12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;0,8
P19GVC10;2010;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;NA
P19JAEC10;2010;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
P19JMM11;2011;9;2,3;NA;NA;9;2,3;2,3;2,3;NSTL;Pantiacolla;1,1
P19WAVM13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,8
P1AJRC13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;NSTL;Pantiacolla;1,1
P1CAD14;2014;4;1;NA;NA;4;1;1;1;NSTL;Pantiacolla;1,5
P1EMJ11;2011;2;1;NA;NA;2;1;1;1;NSTL;Pantiacolla;1,5
P1JAB11;2011;2;2,2;NA;2;NA;1;2,2;2,2;INC;Pantiacolla;NA
P1JAL12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;0,6
P1JPV11;2011;10;2,3;NA;10;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P20SWF11;2011;2;2,3;NA;2;NA;2,3;2,3;2,3;INC;Pantiacolla;0,3
P21DAGR12;2012;1;1;NA;NA;1;1;1;1;NSTL;Pantiacolla;1,7
P22JAEC10;2010;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
P22JPV11;2011;5;2,3;NA;5;NA;2,3;2,3;2,3;INC;Pantiacolla;2
P22SCP10;2010;2;2,2;NA;2;NA;1;2,2;2,2;INC;Pantiacolla;1
P23EMJ11;2011;15;2,3;NA;NA;15;2,3;2,3;2,3;NSTL;Pantiacolla;0,5
P24CAB10;2010;18;2,3;2;18;NA;2,3;2,3;2,3;INC;Pantiacolla;NA
P24MHD13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P25DAGR12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,6
P25IGZ14;2014;2;2,2;NA;2;NA;1;2,2;2,2;INC;Pantiacolla;0,5
P26EMJ11;2011;14;2,3;NA;14;NA;2,3;2,3;2,3;INC;Pantiacolla;0,5
P26JD13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,96
P26RVA11;2011;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Pantiacolla;0,9
P27MAL10;2010;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
P28JDC12;2012;1;2,5;NA;1;NA;2,5;2,5;2,5;INC;Pantiacolla;1,6
P28SCP10;2010;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;2,5
P29RVA11;2011;10;2,3;NA;10;NA;2,3;2,3;2,3;INC;Pantiacolla;1,2
P2JAG10;2010;4;2,2;NA;4;NA;1;2,2;2,2;INC;Pantiacolla;1,4
P2JCC13;2013;4;2,3;NA;NA;4;2,3;2,3;2,3;NSTL;Pantiacolla;0,5
P2NSTC13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,1
P2RA14;2014;26;1;NA;14;14;1;1;1;NSTL;Pantiacolla;4
P30PCGJ12;2012;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,3
P31JAEC10;2010;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;1,2
P31JMM11;2011;2;2,3;NA;2;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
